r_over_r0,c0_ground,c1_excited,c_sum
2.06180905,0.74145729,0.15854271,0.90000000
2.07085427,0.73874372,0.16125628,0.90000000
2.07989950,0.73603015,0.16396985,0.90000000
2.08894472,0.73331658,0.16668342,0.90000000
2.09798995,0.73060302,0.16939698,0.90000000
2.10703518,0.72788945,0.17211055,0.90000000
2.11608040,0.72517588,0.17482412,0.90000000
2.12512563,0.72246231,0.17753769,0.90000000
2.13417085,0.71974874,0.18025126,0.90000000
2.14321608,0.71703518,0.18296482,0.90000000
2.15226131,0.71432161,0.18567839,0.90000000
2.16130653,0.71160804,0.18839196,0.90000000
2.17035176,0.70889447,0.19110553,0.90000000
2.17939698,0.70618090,0.19381910,0.90000000
2.18844221,0.70346734,0.19653266,0.90000000
2.19748744,0.70075377,0.19924623,0.90000000
2.20653266,0.69804020,0.20195980,0.90000000
2.21557789,0.69532663,0.20467337,0.90000000
2.22462312,0.69261307,0.20738693,0.90000000
2.23366834,0.68989950,0.21010050,0.90000000
2.24271357,0.68718593,0.21281407,0.90000000
2.25175879,0.68447236,0.21552764,0.90000000
2.26080402,0.68175879,0.21824121,0.90000000
2.26984925,0.67904523,0.22095477,0.90000000
2.27889447,0.67633166,0.22366834,0.90000000
2.28793970,0.67361809,0.22638191,0.90000000
2.29698492,0.67090452,0.22909548,0.90000000
2.30603015,0.66819095,0.23180905,0.90000000
2.31507538,0.66547739,0.23452261,0.90000000
2.32412060,0.66276382,0.23723618,0.90000000
2.33316583,0.66005025,0.23994975,0.90000000
2.34221106,0.65733668,0.24266332,0.90000000
2.35125628,0.65462312,0.24537688,0.90000000
2.36030151,0.65190955,0.24809045,0.90000000
2.36934673,0.64919598,0.25080402,0.90000000
2.37839196,0.64648241,0.25351759,0.90000000
2.38743719,0.64376884,0.25623116,0.90000000
2.39648241,0.64105528,0.25894472,0.90000000
2.40552764,0.63834171,0.26165829,0.90000000
2.41457286,0.63562814,0.26437186,0.90000000
2.42361809,0.63291457,0.26708543,0.90000000
2.43266332,0.63020101,0.26979899,0.90000000
2.44170854,0.62748744,0.27251256,0.90000000
2.45075377,0.62477387,0.27522613,0.90000000
2.45979899,0.62206030,0.27793970,0.90000000
2.46884422,0.61934673,0.28065327,0.90000000
2.47788945,0.61663317,0.28336683,0.90000000
2.48693467,0.61391960,0.28608040,0.90000000
2.49597990,0.61120603,0.28879397,0.90000000
2.50502513,0.60849246,0.29150754,0.90000000
2.51407035,0.60577889,0.29422111,0.90000000
2.52311558,0.60306533,0.29693467,0.90000000
2.53216080,0.60035176,0.29964824,0.90000000
2.54120603,0.59763819,0.30236181,0.90000000
2.55025126,0.59492462,0.30507538,0.90000000
2.55929648,0.59221106,0.30778894,0.90000000
2.56834171,0.58949749,0.31050251,0.90000000
2.57738693,0.58678392,0.31321608,0.90000000
2.58643216,0.58407035,0.31592965,0.90000000
2.59547739,0.58135678,0.31864322,0.90000000
2.60452261,0.57864322,0.32135678,0.90000000
2.61356784,0.57592965,0.32407035,0.90000000
2.62261307,0.57321608,0.32678392,0.90000000
2.63165829,0.57050251,0.32949749,0.90000000
2.64070352,0.56778894,0.33221106,0.90000000
2.64974874,0.56507538,0.33492462,0.90000000
2.65879397,0.56236181,0.33763819,0.90000000
2.66783920,0.55964824,0.34035176,0.90000000
2.67688442,0.55693467,0.34306533,0.90000000
2.68592965,0.55422111,0.34577889,0.90000000
2.69497487,0.55150754,0.34849246,0.90000000
2.70402010,0.54879397,0.35120603,0.90000000
2.71306533,0.54608040,0.35391960,0.90000000
2.72211055,0.54336683,0.35663317,0.90000000
2.73115578,0.54065327,0.35934673,0.90000000
2.74020101,0.53793970,0.36206030,0.90000000
2.74924623,0.53522613,0.36477387,0.90000000
2.75829146,0.53251256,0.36748744,0.90000000
2.76733668,0.52979899,0.37020101,0.90000000
2.77638191,0.52708543,0.37291457,0.90000000
2.78542714,0.52437186,0.37562814,0.90000000
2.79447236,0.52165829,0.37834171,0.90000000
2.80351759,0.51894472,0.38105528,0.90000000
2.81256281,0.51623116,0.38376884,0.90000000
2.82160804,0.51351759,0.38648241,0.90000000
2.83065327,0.51080402,0.38919598,0.90000000
2.83969849,0.50809045,0.39190955,0.90000000
2.84874372,0.50537688,0.39462312,0.90000000
2.85778894,0.50266332,0.39733668,0.90000000
2.86683417,0.49994975,0.40005025,0.90000000
2.87587940,0.49723618,0.40276382,0.90000000
2.88492462,0.49452261,0.40547739,0.90000000
2.89396985,0.49180905,0.40819095,0.90000000
2.90301508,0.48909548,0.41090452,0.90000000
2.91206030,0.48638191,0.41361809,0.90000000
2.92110553,0.48366834,0.41633166,0.90000000
2.93015075,0.48095477,0.41904523,0.90000000
2.93919598,0.47824121,0.42175879,0.90000000
2.94824121,0.47552764,0.42447236,0.90000000
2.95728643,0.47281407,0.42718593,0.90000000
2.96633166,0.47010050,0.42989950,0.90000000
2.97537688,0.46738693,0.43261307,0.90000000
2.98442211,0.46467337,0.43532663,0.90000000
2.99346734,0.46195980,0.43804020,0.90000000
3.00251256,0.45924623,0.44075377,0.90000000
3.01155779,0.45653266,0.44346734,0.90000000
3.02060302,0.45381910,0.44618090,0.90000000
3.02964824,0.45110553,0.44889447,0.90000000
3.03869347,0.44839196,0.45160804,0.90000000
3.04773869,0.44567839,0.45432161,0.90000000
3.05678392,0.44296482,0.45703518,0.90000000
3.06582915,0.44025126,0.45974874,0.90000000
3.07487437,0.43753769,0.46246231,0.90000000
3.08391960,0.43482412,0.46517588,0.90000000
3.09296482,0.43211055,0.46788945,0.90000000
3.10201005,0.42939698,0.47060302,0.90000000
3.11105528,0.42668342,0.47331658,0.90000000
3.12010050,0.42396985,0.47603015,0.90000000
3.12914573,0.42125628,0.47874372,0.90000000
3.13819095,0.41854271,0.48145729,0.90000000
3.14723618,0.41582915,0.48417085,0.90000000
3.15628141,0.41311558,0.48688442,0.90000000
3.16532663,0.41040201,0.48959799,0.90000000
3.17437186,0.40768844,0.49231156,0.90000000
3.18341709,0.40497487,0.49502513,0.90000000
3.19246231,0.40226131,0.49773869,0.90000000
3.20150754,0.39954774,0.50045226,0.90000000
3.21055276,0.39683417,0.50316583,0.90000000
3.21959799,0.39412060,0.50587940,0.90000000
3.22864322,0.39140704,0.50859296,0.90000000
3.23768844,0.38869347,0.51130653,0.90000000
3.24673367,0.38597990,0.51402010,0.90000000
3.25577889,0.38326633,0.51673367,0.90000000
3.26482412,0.38055276,0.51944724,0.90000000
3.27386935,0.37783920,0.52216080,0.90000000
3.28291457,0.37512563,0.52487437,0.90000000
3.29195980,0.37241206,0.52758794,0.90000000
3.30100503,0.36969849,0.53030151,0.90000000
3.31005025,0.36698492,0.53301508,0.90000000
3.31909548,0.36427136,0.53572864,0.90000000
3.32814070,0.36155779,0.53844221,0.90000000
3.33718593,0.35884422,0.54115578,0.90000000
3.34623116,0.35613065,0.54386935,0.90000000
3.35527638,0.35341709,0.54658291,0.90000000
3.36432161,0.35070352,0.54929648,0.90000000
3.37336683,0.34798995,0.55201005,0.90000000
3.38241206,0.34527638,0.55472362,0.90000000
3.39145729,0.34256281,0.55743719,0.90000000
3.40050251,0.33984925,0.56015075,0.90000000
3.40954774,0.33713568,0.56286432,0.90000000
3.41859296,0.33442211,0.56557789,0.90000000
3.42763819,0.33170854,0.56829146,0.90000000
3.43668342,0.32899497,0.57100503,0.90000000
3.44572864,0.32628141,0.57371859,0.90000000
3.45477387,0.32356784,0.57643216,0.90000000
3.46381910,0.32085427,0.57914573,0.90000000
3.47286432,0.31814070,0.58185930,0.90000000
3.48190955,0.31542714,0.58457286,0.90000000
3.49095477,0.31271357,0.58728643,0.90000000
3.50000000,0.31000000,0.59000000,0.90000000
