R,B_true,B_noisy,sigma,B_filtered
17.51724138,-10.75862069,-10.44204164,0.20843124,-10.70258385
17.58620690,-10.79310345,-10.86765538,0.21059862,-10.71352812
17.65517241,-10.82758621,-11.00280297,0.21278853,-10.71471614
17.72413793,-10.86206897,-10.83407259,0.21500122,-10.75528860
17.79310345,-10.89655172,-10.62124768,0.21723691,-10.79781784
17.86206897,-10.93103448,-10.85799395,0.21949586,-10.83219485
17.93103448,-10.96551724,-10.84208682,0.22177829,-10.85222136
18.00000000,-11.00000000,-11.04752386,0.22408445,-10.93334455
18.06896552,-11.03448276,-10.93117637,0.22641460,-11.01776297
18.13793103,-11.06896552,-10.71562166,0.22876898,-11.06073985
18.20689655,-11.10344828,-11.15884720,0.23114784,-11.07920217
18.27586207,-11.13793103,-11.10446131,0.23355143,-11.10766039
18.34482759,-11.17241379,-11.11251818,0.23598002,-11.17109377
18.41379310,-11.20689655,-11.13924682,0.23843386,-11.19126794
18.48275862,-11.24137931,-11.58152201,0.24091322,-11.23750352
18.55172414,-11.27586207,-11.73272637,0.24341836,-11.26815412
18.62068966,-11.31034483,-11.56112854,0.24594955,-11.31379452
18.68965517,-11.34482759,-11.30309274,0.24850707,-11.37425596
18.75862069,-11.37931034,-11.24024195,0.25109117,-11.39436616
18.82758621,-11.41379310,-11.54842638,0.25370215,-11.42163375
18.89655172,-11.44827586,-11.09522930,0.25634028,-11.47547547
18.96551724,-11.48275862,-11.51984203,0.25900584,-11.49173150
19.03448276,-11.51724138,-11.51192470,0.26169911,-11.51772761
19.10344828,-11.55172414,-11.60301214,0.26442040,-11.51540770
19.17241379,-11.58620690,-11.55039896,0.26716998,-11.53428729
19.24137931,-11.62068966,-11.43051818,0.26994815,-11.58872223
19.31034483,-11.65517241,-11.47361197,0.27275521,-11.63497665
19.37931034,-11.68965517,-11.93725286,0.27559146,-11.67137577
19.44827586,-11.72413793,-11.29986277,0.27845720,-11.73216290
19.51724138,-11.75862069,-12.06670939,0.28135275,-11.75718129
19.58620690,-11.79310345,-11.77058092,0.28427840,-11.77756925
19.65517241,-11.82758621,-11.90640236,0.28723447,-11.79304286
19.72413793,-11.86206897,-12.16650868,0.29022129,-11.81611491
19.79310345,-11.89655172,-11.91858002,0.29323916,-11.85571753
19.86206897,-11.93103448,-12.15052902,0.29628841,-11.89845772
19.93103448,-11.96551724,-11.94369105,0.29936937,-11.89368416
20.00000000,-12.00000000,-11.87807360,0.30248237,-11.97506315
